game_id,game_title
1561,Clue Master Detective
1563,Rise and Decline of the Third Reich
1565,Mississippi Queen: The Black Rose
1568,Space Crusade
1569,RoboRally: Armed and Dangerous
1571,Sanctuary
1573,Banzai
1574,Tactics II
1575,Gettysburg
1576,Gettysburg (125th Anniversary edition)
1577,Source of the Nile
1578,RoadKill
1579,Wrasslin'
1582,Sicily: Triumph and Folly
1585,Burma
1586,The Hobbit Adventure Boardgame
1589,Star Fleet Battles
1590,Stocks & Bonds
1591,Ploy
1593,Down with the King
1597,Streetcar
1602,The Royal Game of Ur
1604,The Mad Magazine Game
1605,Ambush! Purple Heart
1606,Ambush! Move Out!
1607,Blurt!
1608,Ambush!
1612,Ambush! Silver Star
1613,Which Witch?
1621,Mutant Chronicles: Siege of the Citadel
1628,Elric
1629,Air War: Modern Tactical Air Combat
1631,Barbarian Prince
1633,Spies!
1634,Warhammer Quest
1644,Tipp-Kick
1645,War of 1812
1663,Clue: Dungeons & Dragons
1666,Battle Hymn
1667,Battle Hymn: Leatherneck
1668,Modern Naval Battles
1669,Mosby's Raiders
1672,Open Fire
1674,Naval War
1675,Illuminati: Brainwash
1676,Blood Bowl: DeathZone
1677,Knightmare Chess 2
1678,"The Peloponnesian War, 431-404 BC"
1679,Carrier
1681,Tokyo Express
1690,Unexploded Cow
1692,Spoons
1693,Gladiator
1694,Little Round Top: The South's Best Chance at Gettysburg
1695,The Legend of Robin Hood
1697,Hundred Days Battles
1698,X-Men: Under Siege
1699,Star Smuggler
1701,Toscana
1702,Klondike
1705,Slapshot
1708,Stellar Conquest
1709,Trireme
1710,The Siege of Jerusalem (Third Edition)
1711,Richthofen's War
1713,Maharaja
1716,Knights of the Air
1717,Freedom in the Galaxy
1719,Dark Emperor
1720,Dragon Pass
1722,Caesar's Legions
1726,Alexander the Great
1736,Talisman: The Adventure
1737,Talisman Expansion Set
1739,Talisman Dragons
1740,Talisman City
1741,The Talisman Dungeon
1743,Talisman Timescape
1745,Heroes for Dungeonquest
1746,Dungeonquest: Catacombs
1748,A Question of Scruples
1751,Jumanji
1758,Advanced Heroquest
1761,HeroQuest: Return of the Witch Lord
1762,HeroQuest: Kellar's Keep
