,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
355,404,Worm Up!,"['Animals', ""Children's Game"", 'Racing']",15,3,5,7
357,408,Zoon,"['Animals', 'Bluffing', 'Card Game', 'Fighting']",30,2,2,8
365,417,Edison & Co.,['Science Fiction'],45,2,4,12
366,420,Rail Baron,"['Economic', 'Trains', 'Transportation']",240,3,6,10
367,421,1830: Railways & Robber Barons,"['Economic', 'Trains', 'Transportation']",270.0,2,7,14
368,422,1835,"['Economic', 'Trains']",360,3,7,16
369,423,1856: Railroading in Upper Canada from 1856,"['Economic', 'Trains']",300,3,6,14
371,426,The Battle of the Bulge,"['Wargame', 'World War II']",120,2,2,12
372,427,Grass,"['Card Game', 'Economic']",60,2,6,18
376,431,Alhambra: The Card Game,"['Arabian', 'Card Game', 'City Building', 'Economic', 'Humor', 'Medieval']",45,3,6,10
377,432,6 nimmt!,['Card Game'],45,2,10,8
378,433,Shark,['Economic'],90,2,6,12
379,434,Yucata',"['Abstract Strategy', 'Card Game', 'Racing']",30,2,4,9
380,436,Canyon,"['Card Game', 'Racing']",45,3,6,10
381,437,Master Labyrinth,"[""Children's Game"", 'Fantasy', 'Maze', 'Puzzle']",25.0,2,4,10
382,438,Scotland Yard,"['Deduction', 'Travel']",45,3,6,10
384,441,Filthy Rich,['Economic'],60,2,5,14
385,443,Code 777,"['Deduction', 'Puzzle']",60,2,5,10
386,444,Escape from the Hidden Castle,"[""Children's Game"", 'Racing']",30,2,8,8
390,450,Octi,['Abstract Strategy'],20.0,2,4,8
392,452,Mummy Rummy,['Card Game'],30,2,5,8
393,453,La Isla Bohnitâ,"['Card Game', 'Expansion for Base-game', 'Farming', 'Nautical', 'Negotiation', 'Pirates']",90,2,7,12
397,458,Sherlock Holmes: The Card Game,"['Card Game', 'Murder/Mystery', 'Novel-based']",60,3,8,10
399,460,Railway Rivals,"['Racing', 'Trains']",90,2,6,10
402,463,Magic: The Gathering,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']",20,2,2,13
403,464,Billabong,"['Abstract Strategy', 'Animals', 'Racing']",30,2,4,10
405,466,Inkognito,"['Deduction', 'Spies/Secret Agents']",90,3,5,10
406,467,Bohnanza Erweiterungs-Set,"['Card Game', 'Expansion for Base-game', 'Farming', 'Negotiation']",45,3,7,12
409,470,Road to the White House,['Political'],240,3,6,12
411,472,DungeonQuest,"['Adventure', 'Exploration', 'Fantasy']",40.0,1,4,10
413,474,Cold War,"['Economic', 'Negotiation', 'Political']",180,4,4,12
414,475,Taj Mahal,"['Bluffing', 'Political']",87.5,3,5,12
415,476,Mr. President,"['Card Game', 'Political']",60,2,4,12
417,478,Citadels,"['Bluffing', 'Card Game', 'City Building', 'Fantasy', 'Medieval']",40.0,2,8,10
420,481,Carolus Magnus,"['Abstract Strategy', 'Medieval', 'Territory Building']",60,2,4,12
421,482,Sky Runner,['Racing'],30,2,5,8
422,483,Diplomacy,"['Bluffing', 'Negotiation', 'Political', 'Post-Napoleonic', 'Wargame']",360,2,7,12
423,484,Stratego Legends,"['Abstract Strategy', 'Bluffing', 'Collectible Components', 'Deduction', 'Fantasy', 'Memory']",60,2,8,8
424,485,Galloping Pigs,"['Animals', 'Card Game', ""Children's Game""]",30,2,5,6
430,491,Web of Power,"['Medieval', 'Territory Building']",55.0,3,5,12
